time,cases
2004_week_1,186
2004_week_2,219
2004_week_3,200
2004_week_4,237
2004_week_5,242
2004_week_6,194
2004_week_7,184
2004_week_8,169
2004_week_9,188
2004_week_10,156
2004_week_11,148
2004_week_12,151
2004_week_13,165
2004_week_14,131
2004_week_15,166
2004_week_16,208
2004_week_17,274
2004_week_18,322
2004_week_19,252
2004_week_20,394
2004_week_21,639
2004_week_22,847
2004_week_23,899
2004_week_24,1209
2004_week_25,1648
2004_week_26,1828
2004_week_27,2587
2004_week_28,3221
2004_week_29,3954
2004_week_30,3787
2004_week_31,3965
2004_week_32,3909
2004_week_33,2936
2004_week_34,2687
2004_week_35,2938
2004_week_36,3179
2004_week_37,3160
2004_week_38,3496
2004_week_39,3159
2004_week_40,3259
2004_week_41,3534
2004_week_42,3106
2004_week_43,3004
2004_week_44,2972
2004_week_45,2724
2004_week_46,2813
2004_week_47,2721
2004_week_48,2601
2004_week_49,2255
2004_week_50,2039
2004_week_51,1985
2004_week_52,1512
2005_week_1,541
2005_week_2,522
2005_week_3,705
2005_week_4,763
2005_week_5,570
2005_week_6,541
2005_week_7,550
2005_week_8,516
2005_week_9,448
2005_week_10,454
2005_week_11,464
2005_week_12,449
2005_week_13,473
2005_week_14,433
2005_week_15,523
2005_week_16,649
2005_week_17,813
2005_week_18,761
2005_week_19,1024
2005_week_20,1561
2005_week_21,1758
2005_week_22,1803
2005_week_23,2423
2005_week_24,2880
2005_week_25,3777
2005_week_26,4931
2005_week_27,6147
2005_week_28,6991
2005_week_29,6038
2005_week_30,4955
2005_week_31,4369
2005_week_32,3217
2005_week_33,2388
2005_week_34,2187
2005_week_35,2313
2005_week_36,2051
2005_week_37,2189
2005_week_38,1782
2005_week_39,1439
2005_week_40,1220
2005_week_41,1224
2005_week_42,1124
2005_week_43,1222
2005_week_44,1061
2005_week_45,967
2005_week_46,931
2005_week_47,835
2005_week_48,643
2005_week_49,702
2005_week_50,691
2005_week_51,511
2005_week_52,328
2006_week_1,207
2006_week_2,242
2006_week_3,238
2006_week_4,267
2006_week_5,245
2006_week_6,218
2006_week_7,250
2006_week_8,259
2006_week_9,330
2006_week_10,297
2006_week_11,293
2006_week_12,249
2006_week_13,250
2006_week_14,309
2006_week_15,335
2006_week_16,540
2006_week_17,498
2006_week_18,470
2006_week_19,710
2006_week_20,1052
2006_week_21,1529
2006_week_22,2009
2006_week_23,2254
2006_week_24,2733
2006_week_25,3506
2006_week_26,4075
2006_week_27,4997
2006_week_28,5776
2006_week_29,5414
2006_week_30,5726
2006_week_31,5040
2006_week_32,3820
2006_week_33,2729
2006_week_34,2649
2006_week_35,3225
2006_week_36,3484
2006_week_37,3179
2006_week_38,3009
2006_week_39,2726
2006_week_40,2545
2006_week_41,2714
2006_week_42,2473
2006_week_43,2270
2006_week_44,2099
2006_week_45,1920
2006_week_46,1663
2006_week_47,1571
2006_week_48,1516
2006_week_49,1625
2006_week_50,1404
2006_week_51,1373
2006_week_52,1181
2007_week_1,470
2007_week_2,600
2007_week_3,1061
2007_week_4,1151
2007_week_5,1099
2007_week_6,1188
2007_week_7,893
2007_week_8,1123
2007_week_9,952
2007_week_10,862
2007_week_11,868
2007_week_12,652
2007_week_13,585
2007_week_14,486
2007_week_15,542
2007_week_16,555
2007_week_17,740
2007_week_18,462
2007_week_19,746
2007_week_20,1004
2007_week_21,1121
2007_week_22,1349
2007_week_23,1747
2007_week_24,1953
2007_week_25,2720
2007_week_26,3491
2007_week_27,4589
2007_week_28,5619
2007_week_29,5539
2007_week_30,5532
2007_week_31,4988
2007_week_32,3445
