time,rsv
Jan-04,2
Feb-04,1
Mar-04,0
Apr-04,1
May-04,2
Jun-04,2
Jul-04,5
Aug-04,4
Sep-04,2
Oct-04,2
Nov-04,3
Dec-04,3
Jan-05,1
Feb-05,1
Mar-05,1
Apr-05,2
May-05,1
Jun-05,5
Jul-05,8
Aug-05,3
Sep-05,1
Oct-05,2
Nov-05,2
Dec-05,1
Jan-06,1
Feb-06,1
Mar-06,0
Apr-06,1
May-06,2
Jun-06,5
Jul-06,7
Aug-06,5
Sep-06,3
Oct-06,4
Nov-06,3
Dec-06,1
Jan-07,2
Feb-07,2
Mar-07,1
Apr-07,1
May-07,2
Jun-07,4
Jul-07,6
Aug-07,6
Sep-07,3
Oct-07,2
Nov-07,1
Dec-07,2
Jan-08,1
Feb-08,1
Mar-08,1
Apr-08,2
May-08,21
Jun-08,6
Jul-08,12
Aug-08,7
Sep-08,4
Oct-08,4
Nov-08,2
Dec-08,1
Jan-09,1
Feb-09,1
Mar-09,1
Apr-09,2
May-09,2
Jun-09,2
Jul-09,4
Aug-09,5
Sep-09,4
Oct-09,2
Nov-09,1
Dec-09,1
Jan-10,1
Feb-10,1
Mar-10,2
Apr-10,2
May-10,12
Jun-10,13
Jul-10,19
Aug-10,10
Sep-10,4
Oct-10,3
Nov-10,2
Dec-10,2
Jan-11,2
Feb-11,1
Mar-11,1
Apr-11,5
May-11,3
Jun-11,12
Jul-11,60
Aug-11,50
Sep-11,21
Oct-11,11
Nov-11,6
Dec-11,5
Jan-12,3
Feb-12,2
Mar-12,2
Apr-12,2
May-12,3
Jun-12,5
Jul-12,11
Aug-12,8
Sep-12,7
Oct-12,7
Nov-12,5
Dec-12,4
Jan-13,3
Feb-13,3
Mar-13,3
Apr-13,3
May-13,6
Jun-13,16
Jul-13,85
Aug-13,83
Sep-13,27
Oct-13,13
Nov-13,6
Dec-13,4
Jan-14,2
Feb-14,2
Mar-14,2
Apr-14,2
May-14,3
Jun-14,6
Jul-14,11
Aug-14,9
Sep-14,7
Oct-14,5
Nov-14,5
Dec-14,5
Jan-15,3
Feb-15,3
Mar-15,3
Apr-15,6
May-15,11
Jun-15,23
Jul-15,65
Aug-15,57
Sep-15,29
Oct-15,12
Nov-15,4
Dec-15,2
Jan-16,1
Feb-16,1
Mar-16,1
Apr-16,1
May-16,2
Jun-16,4
Jul-16,7
Aug-16,5
Sep-16,5
Oct-16,8
Nov-16,5
Dec-16,3
Jan-17,2
Feb-17,2
Mar-17,1
Apr-17,2
May-17,8
Jun-17,18
Jul-17,67
Aug-17,55
Sep-17,23
Oct-17,11
Nov-17,7
Dec-17,5
Jan-18,2
Feb-18,2
Mar-18,1
Apr-18,2
May-18,4
Jun-18,6
Jul-18,11
Aug-18,8
Sep-18,7
Oct-18,6
Nov-18,5
Dec-18,3
Jan-19,2
Feb-19,1
Mar-19,2
Apr-19,3
May-19,8
Jun-19,31
Jul-19,100
Aug-19,41
Sep-19,15
Oct-19,9
Nov-19,7
Dec-19,4
Jan-20,2
Feb-20,2
Mar-20,1
Apr-20,1
May-20,2
Jun-20,3
Jul-20,3
Aug-20,3
Sep-20,2
Oct-20,2
Nov-20,1
Dec-20,1
Jan-21,1
Feb-21,1
Mar-21,1
Apr-21,1
May-21,2
Jun-21,3
Jul-21,4
Aug-21,4
Sep-21,5
Oct-21,10
Nov-21,16
Dec-21,8
Jan-22,4
Feb-22,2
Mar-22,2
Apr-22,2
May-22,3
Jun-22,6
Jul-22,22
Aug-22,42
Sep-22,34
